iter	Passed	Remaining
1170	3880	29257
1171	3883	29254
1172	3887	29251
1173	3890	29247
1174	3893	29244
1175	3897	29241
1176	3900	29239
1177	3903	29236
1178	3907	29233
1179	3910	29230
1180	3914	29227
1181	3917	29224
1182	3920	29221
1183	3924	29218
1184	3927	29216
1185	3930	29212
1186	3934	29209
1187	3937	29205
1188	3940	29202
1189	3944	29199
1190	3947	29196
1191	3950	29192
1192	3953	29189
1193	3957	29185
1194	3960	29182
1195	3963	29178
1196	3967	29175
1197	3970	29173
1198	3973	29170
1199	3977	29167
1200	3980	29165
1201	3984	29161
1202	3987	29158
1203	3990	29156
1204	3994	29153
1205	3997	29150
1206	4001	29148
1207	4004	29145
1208	4007	29142
1209	4011	29139
1210	4014	29137
1211	4018	29134
1212	4021	29131
1213	4024	29129
1214	4028	29126
1215	4031	29124
1216	4035	29121
1217	4038	29119
1218	4042	29116
1219	4045	29114
1220	4048	29111
1221	4052	29109
1222	4055	29107
1223	4059	29104
1224	4062	29101
1225	4065	29098
1226	4069	29094
1227	4072	29090
1228	4075	29086
1229	4078	29083
1230	4082	29079
1231	4085	29075
1232	4088	29071
1233	4092	29068
1234	4095	29064
1235	4098	29060
1236	4101	29056
1237	4104	29053
1238	4108	29049
1239	4111	29045
1240	4114	29042
1241	4118	29038
1242	4121	29034
1243	4124	29031
1244	4127	29027
1245	4131	29024
1246	4134	29021
1247	4137	29017
1248	4141	29014
1249	4144	29011
1250	4147	29007
1251	4150	29003
1252	4154	28999
1253	4157	28994
1254	4160	28990
1255	4163	28986
1256	4167	28983
1257	4170	28979
1258	4173	28976
1259	4176	28972
1260	4180	28968
1261	4183	28965
1262	4186	28961
1263	4189	28957
1264	4192	28948
1265	4195	28945
1266	4198	28941
1267	4202	28937
1268	4205	28933
1269	4208	28929
1270	4211	28925
1271	4215	28922
1272	4218	28918
1273	4221	28914
1274	4224	28910
1275	4228	28908
1276	4231	28905
1277	4235	28902
1278	4238	28900
1279	4241	28897
1280	4245	28895
1281	4248	28892
1282	4252	28889
1283	4255	28886
1284	4258	28884
1285	4262	28881
1286	4265	28879
1287	4269	28876
1288	4272	28873
1289	4275	28870
1290	4279	28868
1291	4282	28865
1292	4286	28862
1293	4289	28860
1294	4293	28857
1295	4296	28854
1296	4299	28851
1297	4303	28849
1298	4306	28846
1299	4310	28844
1300	4313	28841
1301	4316	28839
1302	4320	28836
1303	4323	28834
1304	4327	28831
1305	4330	28829
1306	4334	28826
1307	4337	28823
1308	4340	28821
1309	4344	28818
1310	4347	28816
1311	4351	28813
1312	4354	28810
1313	4357	28807
1314	4361	28805
1315	4364	28802
1316	4368	28799
1317	4371	28797
1318	4375	28794
1319	4378	28791
1320	4381	28788
1321	4385	28786
1322	4388	28783
1323	4392	28781
1324	4395	28778
1325	4399	28776
1326	4402	28774
1327	4405	28771
1328	4409	28768
1329	4412	28766
1330	4416	28763
1331	4419	28761
1332	4423	28758
1333	4426	28756
1334	4430	28753
1335	4433	28751
1336	4436	28748
1337	4440	28746
1338	4443	28743
1339	4447	28740
1340	4450	28738
1341	4454	28735
1342	4457	28732
1343	4460	28730
1344	4464	28727
1345	4467	28725
1346	4471	28722
1347	4474	28719
1348	4477	28716
1349	4481	28713
1350	4484	28710
1351	4488	28708
1352	4491	28705
1353	4495	28703
1354	4498	28700
1355	4501	28697
1356	4505	28694
1357	4508	28692
1358	4512	28690
1359	4515	28687
1360	4518	28684
1361	4522	28682
1362	4525	28679
1363	4529	28676
1364	4532	28674
1365	4536	28671
1366	4539	28669
1367	4543	28666
1368	4546	28664
1369	4549	28661
1370	4553	28658
1371	4556	28655
1372	4560	28653
1373	4563	28650
1374	4567	28647
1375	4570	28645
1376	4573	28642
1377	4577	28639
1378	4580	28636
1379	4584	28633
1380	4587	28630
1381	4590	28627
1382	4594	28624
1383	4597	28621
1384	4600	28617
1385	4604	28614
1386	4607	28611
1387	4610	28607
1388	4614	28604
1389	4617	28602
1390	4620	28598
1391	4624	28595
1392	4627	28591
1393	4630	28588
1394	4634	28585
1395	4637	28581
1396	4640	28578
1397	4644	28575
1398	4647	28572
1399	4650	28569
1400	4654	28566
1401	4657	28562
1402	4660	28559
1403	4664	28556
1404	4667	28552
1405	4670	28549
1406	4674	28546
1407	4677	28542
1408	4680	28539
1409	4684	28536
1410	4687	28532
1411	4690	28529
1412	4694	28526
1413	4697	28522
1414	4700	28519
1415	4703	28515
1416	4707	28512
1417	4710	28509
1418	4713	28506
1419	4717	28502
1420	4720	28500
1421	4723	28496
1422	4727	28493
1423	4730	28489
1424	4733	28486
1425	4737	28482
1426	4740	28480
1427	4743	28476
1428	4747	28473
1429	4750	28470
1430	4753	28466
1431	4757	28463
1432	4760	28460
1433	4764	28458
1434	4767	28456
1435	4771	28453
1436	4774	28450
1437	4777	28447
1438	4781	28444
1439	4784	28441
1440	4788	28439
1441	4791	28437
1442	4794	28434
1443	4798	28431
1444	4801	28428
1445	4805	28425
1446	4808	28423
1447	4812	28420
1448	4815	28417
1449	4818	28414
1450	4822	28412
1451	4825	28409
1452	4829	28406
1453	4832	28403
1454	4836	28401
1455	4839	28398
1456	4842	28395
1457	4846	28392
1458	4849	28390
1459	4853	28387
1460	4856	28384
1461	4859	28382
1462	4863	28379
1463	4866	28376
1464	4870	28373
1465	4873	28370
1466	4877	28367
1467	4880	28365
1468	4883	28362
1469	4887	28359
1470	4890	28357
1471	4894	28354
1472	4897	28351
1473	4901	28348
1474	4904	28346
1475	4907	28343
1476	4911	28341
1477	4914	28339
1478	4918	28336
1479	4921	28334
1480	4925	28331
1481	4928	28329
1482	4932	28326
1483	4935	28323
1484	4939	28320
1485	4942	28317
1486	4945	28314
1487	4949	28311
1488	4952	28309
1489	4956	28306
1490	4959	28304
1491	4963	28301
1492	4966	28298
1493	4969	28296
1494	4973	28293
1495	4976	28290
1496	4980	28287
1497	4983	28285
1498	4987	28283
1499	4990	28280
1500	4994	28277
1501	4997	28274
1502	5000	28271
1503	5004	28268
1504	5007	28265
1505	5011	28263
1506	5014	28260
1507	5018	28258
1508	5021	28255
1509	5024	28252
1510	5028	28249
1511	5031	28247
1512	5035	28244
1513	5038	28241
1514	5041	28238
1515	5045	28235
1516	5048	28232
1517	5052	28229
1518	5055	28226
1519	5059	28224
1520	5062	28221
1521	5065	28218
1522	5069	28215
1523	5072	28213
1524	5076	28210
1525	5079	28206
1526	5082	28203
1527	5086	28200
1528	5089	28197
1529	5093	28194
1530	5096	28192
1531	5100	28189
1532	5103	28187
1533	5106	28184
1534	5110	28182
1535	5113	28179
1536	5117	28177
1537	5120	28174
1538	5124	28171
1539	5127	28169
1540	5131	28166
1541	5134	28163
1542	5138	28160
1543	5141	28158
1544	5144	28155
1545	5148	28152
1546	5151	28150
1547	5155	28147
1548	5158	28144
1549	5162	28141
1550	5165	28138
1551	5168	28135
1552	5172	28132
1553	5175	28130
1554	5179	28127
1555	5182	28124
1556	5185	28121
1557	5188	28115
1558	5192	28113
1559	5195	28110
1560	5199	28107
1561	5202	28104
1562	5206	28102
1563	5209	28099
1564	5212	28095
1565	5216	28092
1566	5219	28089
1567	5223	28087
1568	5226	28084
1569	5229	28082
1570	5233	28079
1571	5236	28076
1572	5240	28073
1573	5243	28070
1574	5247	28068
1575	5250	28065
1576	5254	28062
1577	5257	28059
1578	5260	28057
1579	5264	28054
1580	5267	28051
1581	5271	28049
1582	5274	28046
1583	5278	28043
1584	5281	28040
1585	5285	28037
1586	5288	28035
1587	5291	28032
1588	5295	28029
1589	5298	28026
1590	5302	28023
1591	5305	28020
1592	5309	28018
1593	5312	28015
1594	5315	28012
1595	5319	28009
1596	5322	28006
1597	5326	28004
1598	5329	28001
1599	5333	27998
1600	5336	27996
1601	5340	27993
1602	5343	27990
1603	5346	27988
1604	5350	27985
1605	5353	27982
1606	5357	27980
1607	5360	27977
1608	5364	27974
1609	5367	27971
1610	5371	27969
1611	5374	27967
1612	5378	27964
1613	5381	27962
1614	5385	27959
1615	5388	27956
1616	5391	27953
1617	5395	27951
1618	5398	27948
1619	5402	27945
1620	5405	27943
1621	5409	27940
1622	5412	27937
1623	5416	27934
1624	5419	27931
1625	5423	27928
1626	5426	27926
1627	5430	27923
1628	5433	27920
1629	5436	27918
1630	5440	27915
1631	5443	27912
1632	5447	27909
1633	5450	27906
1634	5453	27903
1635	5457	27900
1636	5460	27897
1637	5464	27894
1638	5467	27891
1639	5470	27888
1640	5474	27884
1641	5477	27882
1642	5481	27879
1643	5484	27876
1644	5487	27873
1645	5491	27870
1646	5494	27867
1647	5498	27864
1648	5501	27860
1649	5504	27857
1650	5508	27854
1651	5511	27851
1652	5514	27847
1653	5518	27844
1654	5521	27841
1655	5524	27838
1656	5528	27834
1657	5531	27831
1658	5535	27828
1659	5538	27825
1660	5541	27822
1661	5545	27819
1662	5548	27816
1663	5551	27813
1664	5555	27809
1665	5558	27806
1666	5562	27803
1667	5565	27800
1668	5568	27797
1669	5572	27794
1670	5575	27790
1671	5578	27787
1672	5582	27784
1673	5585	27781
1674	5589	27778
1675	5592	27775
1676	5595	27772
1677	5599	27769
